"airtableID","Unique ID","Primary Field","Title","Work type","Year","[publisher]","[location]","Page no","Issue","Volume","Source link","[commentaries]","[work roles]","Complete","[news items]"
"","apdp.work.000066","Mtshali, Oswald. Fireflames. Rex Collings, 1980. (1980)","Mtshali, Oswald. Fireflames. Rex Collings, 1980.","Single Author|Selected Works","1980","","","","",""," - ","","['recz9XZX8pRcYMWoD', 'recApkttqGN9ZjHS7', 'recI4bJ94JkpwAtsy']","","['recbYsA8nKU5kIT0q']"
"","apdp.work.000643","Îles de tempête (1973)","Îles de tempête","Single Author|Selected Works","1973","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recRbXtLd7w3JekrK']","",""
"","apdp.work.000659","Today is not Different (1978)","Today is not Different","Single Author|Selected Works","1978","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec3sRcJUEjBvJj3m']","",""
"","apdp.work.000498","The Man of Grass and Other Poems (1960)","The Man of Grass and Other Poems","Single Author|Selected Works","1960","['recxihtL4HGwCjRkW']","['recR6YHhrfthZo5tS']","","",""," - ","","['recT2sTRwUK3JFifZ']","",""
"","apdp.work.000670","Pilgrims Joy: Verses (1916)","Pilgrims Joy: Verses","Single Author|Selected Works","1916","['recCGS5qIEq3w252l']","['recZw13lsI65j01ma']","","",""," - ","","['recJFvhvRrPbjA2RB']","",""
"","apdp.work.000469","Dead roots: poems (1973)","Dead roots: poems","Single Author|Selected Works","1973","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['recnprlKNVtznOguN']","",""
"","apdp.work.000080","Mortality: Poems (1968)","Mortality: Poems","Single Author|Selected Works","1968","['recJ8sAV5dNOppLTN']","['recR6YHhrfthZo5tS']","","",""," - ","","['recyxWDal4lbGBKx2']","","['recBey94YcpNHirc9']"
"","apdp.work.000212","Somali Poetry: An Introduction (1964)","Somali Poetry: An Introduction","Anthology","1964","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['rechtluxRgaLT67G9', 'recWUJCHtJgpL71Pe', 'recowAWy39v5XTAtv', 'recsWBabPEyNNm6rW', 'recYdCH3Z0ZH8w9UW', 'recmwSdvytP4HnwOy']","","['recDbm03bi52xErRe']"
"","apdp.work.000660","Transformations (1999)","Transformations","Single Author|Selected Works","1999","['recADPflw7tSvi47m']","['recByKWBNYTnFNrCp']","","",""," - ","","['recwrQRADXR7yjKeE']","",""
"","apdp.work.000321","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['recKdhQ25qUctb3iI', 'reczZPH4Tsw92Bqim']","",""
"","apdp.work.000581","Selected Poems (1996)","Selected Poems","Single Author|Selected Works","1996","","","","",""," - ","","['recdZqNzrcnYz5HEJ']","",""
"","apdp.work.000426","Katchikali (1971)","Katchikali","Single Author|Selected Works","1971","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recutvr5Ffry6U2Jq']","",""
"","apdp.work.000724","The Silent Land (1906)","The Silent Land","Single Author|Selected Works","1906","['reciJ2caGuSgGwUOO']","","","",""," - ","","['recNDaX2q9QYblHk7']","",""
"","apdp.work.000377","Des Stances oubliées (1959)","Des Stances oubliées","Single Author|Selected Works","1959","['recJeFmfBwYx3a2wU']","","","",""," - ","","['recGOgzYz5zSCJnJ8']","",""
"","apdp.work.000545","Rooidag (Red day) (1940)","Rooidag (Red day)","Single Author|Collected Works","1940","","","","",""," - ","","['recrdZDrCC3RJNVAy']","",""
"","apdp.work.000696","Adamastor (1930)","Adamastor","Single Author|Selected Works","1930","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recI1tPG0LCs8pJqN']","",""
"","apdp.work.000671","Faerylands Forlorn: African Tales (1910)","Faerylands Forlorn: African Tales","Single Author|Selected Works","1910","['recCGS5qIEq3w252l']","['recZw13lsI65j01ma']","","",""," - ","","['recCx8zMeKB5gIbiY']","",""
"","apdp.work.000438","Poems from Black Africa (1963)","Poems from Black Africa","Anthology","1963","['recCVZE5Wg6hquj7a']","['rec2lbQThAnBuWF6m']","","",""," - ","","['rec64JSvBJpKiXXHm', 'recDQfbE8gWlHH75a']","",""
"","apdp.work.000309","Black Bronze Beautiful (1975)","Black Bronze Beautiful","Single Author|Selected Works","1975","['recF07KfYjjsKbnSz']","['recFjYFloIc1MhnAb']","","",""," - ","","['rectimbjFQTPDpKa9']","",""
"","apdp.work.000528","Emperor Shaka the Great: A Zulu Epic (1979)","Emperor Shaka the Great: A Zulu Epic","Single Author|Selected Works","1979","['rec1A03SZHyn2YohP']","['reckyxi4BnnhhZ5nF']","","",""," - ","","['recaN9BfmqTEFQd7F']","",""
"","apdp.work.000765","Domestic Interior, and Other Poems (1959)","Domestic Interior, and Other Poems","Single Author|Selected Works","1959","['recePapKPouQwFSJw']","['recR6YHhrfthZo5tS']","","",""," - ","","","",""
"","apdp.work.000441","Christopher Okigbo: Collected Poems (1986)","Christopher Okigbo: Collected Poems","Single Author|Collected Works","1986","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['reckfYpPhOe3cklq2']","",""
"","apdp.work.000500","Ballads of Underdevelopment: poems and thoughts (1976)","Ballads of Underdevelopment: poems and thoughts","Single Author|Selected Works","1976","['recV184TjfXo3MjvY']","['recu3MoBp4ft8I96h']","","",""," - ","","['recO1f9kHcSAuyPaT']","",""
"","apdp.work.000501","Another Nigger Dead (1972)","Another Nigger Dead","Single Author|Selected Works","1972","['recKkNwvXwxWNXvFT']","['reckYc4fBX8zNzPHT']","","",""," - ","","['rec2fAuHO9jbTQLoN']","",""
"","apdp.work.000628","Black South-Easter (1966)","Black South-Easter","Single Author|Selected Works","1966","['recd0ApIRB0QV3nfs']","","","",""," - ","","['recke02pQPtfwMYK6']","",""
"","apdp.work.000275","Ses Gedigte (""Six Poems"") (1940)","Ses Gedigte (""Six Poems"")","Single Author|Selected Works","1940","['recj4bVvKPtuK07Os']","","","",""," - ","","['recEBajrUHSJqM0Q6']","",""
"","apdp.work.000338","Chants d'ombre (1945)","Chants d'ombre","Single Author|Selected Works","1945","['recusHIMurW6VPON7']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recpPWeHGiZJFg7yo']","",""
"","apdp.work.000443","Classical and Byzantine and Oriental and African: The Penguin Companion to Literature (1969)","Classical and Byzantine and Oriental and African: The Penguin Companion to Literature","Anthology","1969","['reckanGgoZFeNEAni']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec21qHKrKbP9kkjV', 'recRYK6rFrB9AAq5o', 'recAOxE0a1ucdLrTX', 'recOK85RYLV5FQcA7', 'rec4ugMue7rPqfLgr']","",""
"","apdp.work.000288","À triche-coeur (1960)","À triche-coeur","Single Author|Selected Works","1960","['recXWW163usBudK3w']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recksE39mxMqRtqWO']","",""
"","apdp.work.000728","Ride Me, Memory (1973)","Ride Me, Memory","Single Author|Selected Works","1973","['recdiyuHnz0tGPTmX']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recCWKeFnxzgNK2wa']","",""
"","apdp.work.000688","A Lot from Paradise (1999)","A Lot from Paradise","Single Author|Selected Works","1999","['recrNXFsiegJBSEbz']","['rechXxEReQlGKd2ar']","","",""," - ","","['recxRLmf6G5pmVNFZ']","",""
"","apdp.work.000192","Dictionary of British Women Writers (1989)","Dictionary of British Women Writers","Single Author|Full Length","1989","['recfg8XeRA88wYMUA']","['recR6YHhrfthZo5tS']","","",""," - ","","['recJJTwJWOX6I9N0i']","","['rec7QDWEjvfHWmqS8']"
"","apdp.work.000111","The Collected Poems of Francis Carey Slater (1957)","The Collected Poems of Francis Carey Slater","Single Author|Collected Works","1957","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['recW53lOoKg1nrdjb']","","['recy4uGDhyvOp4GmY']"
"","apdp.work.000310","Kitaar my kruis (1961)","Kitaar my kruis","Single Author|Selected Works","1961","['recejcXU9TmJpGt8v']","['recByKWBNYTnFNrCp']","","",""," - ","","['recpBagegyKcVDesf']","",""
"","apdp.work.000690","O Earth, Wait for Me (1984)","O Earth, Wait for Me","Single Author|Selected Works","1984","['recgzwAW9Jxrjo7Cu']","","","",""," - ","","['recL8veHbUgM0H2qM']","",""
"","apdp.work.000365","Rites millénaires (1955)","Rites millénaires","Single Author|Selected Works","1955","['recQTgJwFYehZzlUI']","","","",""," - ","","['recwWk9BGFz6RVGKB']","",""
"","apdp.work.000009","South African Poetry. A New Anthology, with a Foreword by Roy Campbell (1948)","South African Poetry. A New Anthology, with a Foreword by Roy Campbell","Anthology","1948","['recGV16tZ1WlDXrxA']","","","",""," - ","","['recY8BRrBaHa7qgGi', 'recmy8p8SY3pEJ81S', 'recxEGR5LQwrwHtp5', 'recVzaHrh9Of3m7xf', 'recvpOQGlVmC3A0uI', 'recKilD2xSf2wvPKt']","","['recquIvhYtvkotDHJ', 'recd1j7a9Px8IydVt', 'recSQhooroLcNgPzu']"
"","apdp.work.000251","The Gods of Africa and other Poems (1912)","The Gods of Africa and other Poems","Single Author|Selected Works","1912","['recvYl5wfYAZtLNvW']","['recR6YHhrfthZo5tS']","","",""," - ","","['recqwBn5CufBbxydI']","",""
"","apdp.work.000546","Kentering (Change) (1935)","Kentering (Change)","Single Author|Selected Works","1935","","","","",""," - ","","['recOvkH3SqSGoslYs']","",""
"","apdp.work.000502","Frantz Fanon’s Uneven Ribs (1971)","Frantz Fanon’s Uneven Ribs","Single Author|Selected Works","1971","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recxrrTNvsewP5v1C']","",""
"","apdp.work.000297","Ogun Abibiman (1976)","Ogun Abibiman","Single Author|Selected Works","1976","['recy5B5gRIbhpABje']","['recZw13lsI65j01ma']","","",""," - ","","['reczmPYmWq36BK1us']","",""
"","apdp.work.000717","Return of No Return and Other Poems (1995)","Return of No Return and Other Poems","Single Author|Selected Works","1995","['recmV2AC682IgBmzx']","","","",""," - ","","['receyKCExNiOgRMRG']","",""
"","apdp.work.000304","Modern African Writers: Wole Soyinka (1972)","Modern African Writers: Wole Soyinka","Single Author|Full Length","1972","['recnbn7VeDWh0PMTU']","['recR6YHhrfthZo5tS']","","",""," - ","","['reckx2a4DXFH1gR12']","",""
"","apdp.work.000276","Die Sewe Vrese (1951)","Die Sewe Vrese","Single Author|Selected Works","1951","['recaOL5DmwflOJz1q']","['recFjYFloIc1MhnAb']","","",""," - ","","['reclOQKMjdES20YtK']","",""
"","apdp.work.000289","La Veste d’intérieur suivi de Notes de veille  (1977)","La Veste d’intérieur suivi de Notes de veille ","Single Author|Selected Works","1977","['recnOLEgzMvQDsSpu']","","","",""," - ","","['recrnkbjfObwrEObH']","",""
"","apdp.work.000711","The Iron Cow Must Sweat (1974)","The Iron Cow Must Sweat","Single Author|Selected Works","1974","['recYN91fhMQgFG4hs']","['recFjYFloIc1MhnAb']","","",""," - ","","['recW3G6USC2FPDPzX']","",""
"","apdp.work.000074","Nocturnes (1961)","Nocturnes","Single Author|Selected Works","1961","['recusHIMurW6VPON7']","","","",""," - ","","['rec4UjZiEtSSngXgm']","","['recKqPLKRHHgjzBli']"
"","apdp.work.000291","The Rift: The exile experience of South Africans (1994)","The Rift: The exile experience of South Africans","Anthology","1994","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recyLkGyd3Qf6VmnX', 'recUV2si2ITS7pi1v', 'recvh39vDstz8xVdb', 'recbXVkjW0o0qAISI', 'recVzFpQy2XfKEAGd']","",""
"","apdp.work.000644","Légendes africaines (1954)","Légendes africaines","Single Author|Selected Works","1954","['rec1gtjZIFvDinrPh']","","","",""," - ","","['reccUsmOvIvQMfr3x']","",""
"","apdp.work.000612","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club (1910)","Veldsingers Verse: A Compilation of the Works of Members of the Veldsingers Club","Anthology","1910","['rec5orC0LALDAOhkV']","['recR6YHhrfthZo5tS']","","",""," - ","","['recyVj9I4UmDJPulP', 'recKvVMYEZAsAqQZB']","",""
"","apdp.work.000183","Lenrie Peters: Poems (1964)","Lenrie Peters: Poems","Single Author|Selected Works","1964","['recsbhF8jfAiLQIpI']","","","",""," - ","","['recGR1z7jbCqSugOH', 'rec5iGu98TaTMSI1A', 'reci6FIErAOSrXQkF', 'recmExMIoVOJi3qkv', 'recqWgKKwia34lhqN', 'recYSaphnyq8ohVWW', 'rec8vYJmNAtPIdrAX', 'recYDIlEOvQBG5PH9', 'recMhFOQiuey1Of3U']","","['recENYPFi07koxKf6']"
"","apdp.work.000243","Monologue of a Deaf Man (1958)","Monologue of a Deaf Man","Single Author|Full Length","1958","","","","",""," - ","","['recknV0qE0Mvgvh9D']","",""
"","apdp.work.000329","The Soweto I Love (1977)","The Soweto I Love","Single Author|Selected Works","1977","['recy5B5gRIbhpABje']","['recZw13lsI65j01ma']","","",""," - ","","['recek6b5wogMVpVyf']","",""
"","apdp.work.000339","La Poésie de l'action: conversation avec Mohamed Aziza (1980)","La Poésie de l'action: conversation avec Mohamed Aziza","Single Author|Selected Works","1980","['recj0yDyhCzlAxC5p']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recYUrUPisZOxD864']","",""
"","apdp.work.000325","Yakhal’inkomo: Poems (1972)","Yakhal’inkomo: Poems","Single Author|Selected Works","1972","['recEasWk83JKt9Qvk']","['recFjYFloIc1MhnAb']","","",""," - ","","['recujgvslE0FEI915']","",""
"","apdp.work.000701","A Book of African Verse, selected and introduced by Guy Butler (1959)","A Book of African Verse, selected and introduced by Guy Butler","Anthology","1959","['reckBi9snfx9vvo8R']","['recZw13lsI65j01ma']","","",""," - ","","['recFsevNMY0DLk8TX', 'rec2x2LqfDc2XnIcg', 'recabC6kV8gUYfPxC', 'recuwCGFbcmJXezhO', 'rec3Li1luSIQ2QiBP', 'recFDRNdHYT2fuFgG', 'recIWQqQT4MF8iUz7', 'recci7oNivbNWwKnZ', 'recLJOZuPrEySvjcD']","",""
"","apdp.work.000176","A Reed in the Tide (1965)","A Reed in the Tide","Single Author|Selected Works","1965","['recJ8sAV5dNOppLTN']","['recR6YHhrfthZo5tS']","","",""," - ","","['recWtqx5ZDQ1oIh8t']","","['recENYPFi07koxKf6']"
"","apdp.work.000734","Cries & Silences: Selected Poems. (1996)","Cries & Silences: Selected Poems.","Single Author|Selected Works","1996","['reciRpC86N1AiiFL2']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec8pGrXtWVeNYBVn']","",""
"","apdp.work.000592","More Rhodesian Rhymes (1913)","More Rhodesian Rhymes","Single Author|Selected Works","1913","['recgCLFz6hqIMxMDv']","['recxqpnt9oMKG6oqZ']","","",""," - ","","['recoehywWa9rjOBTj']","",""
"","apdp.work.000432","A Guide to Twentieth-Century Literature in English (1983)","A Guide to Twentieth-Century Literature in English","Anthology","1983","['recfg8XeRA88wYMUA']","","","",""," - ","","['recC9ZsEN6H9iMYRt']","",""
"","apdp.work.000158","Exile in Colchester: Collected Poems (2001)","Exile in Colchester: Collected Poems","Single Author|Collected Works","2001","['recg44jiTURQsepfX']","['recByKWBNYTnFNrCp']","","",""," - ","","['rec3wzsPZaRCFYg4z']","","['recr35NLkMMJ2UBJp']"
"","apdp.work.000210","You Must Set Forth at Dawn: A Memoir (2007)","You Must Set Forth at Dawn: A Memoir","Single Author|Full Length","2007","['recQtPYt3QHkGMKEj']","['recRPTnrNPU6ArRJv']","","",""," - ","","['recwRDAQOc7DA79Ka']","","['recCQ2zRi2YGDOjgG']"
"","apdp.work.000490","Rudiments of Grace (2014)","Rudiments of Grace","Single Author|Selected Works","2014","['recEBh3BsMl3kRkpG']","","","",""," - ","","['reckBCzys8Nr21jc0']","",""
"","apdp.work.000731","Pidgin Stew and Sufferhead: the pidgin (and other) poems of Frank Aig-Imoukhuede (1982)","Pidgin Stew and Sufferhead: the pidgin (and other) poems of Frank Aig-Imoukhuede","Single Author|Selected Works","1982","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['reczCzIaYhpxvUTxY']","",""
"","apdp.work.000766","A Treasury of South African Poetry and Verse (1907)","A Treasury of South African Poetry and Verse","Anthology","1907","['recdzMJFbjeq1ptEt']","['recRPTnrNPU6ArRJv']","","",""," - ","","","",""
"","apdp.work.000277","Op Die Mespunt (1963)","Op Die Mespunt","Single Author|Selected Works","1963","['recJlRVhcyEr0JW8a']","['recByKWBNYTnFNrCp']","","",""," - ","","['rectXM9eHABmkpSJL']","",""
"","apdp.work.000517","Godhorse (1989)","Godhorse","Single Author|Selected Works","1989","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['recrpP1hDHkkxyKbm']","",""
"","apdp.work.000718","The Shadows of Laughter (1968)","The Shadows of Laughter","Single Author|Selected Works","1968","['recpnKAl8DyDg6Njk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec7VWqiK91yWmfC1']","",""
"","apdp.work.000767","A Treasury of South African Poetry and Verse (1907)","A Treasury of South African Poetry and Verse","Anthology","1907","['recdzMJFbjeq1ptEt']","['recByKWBNYTnFNrCp']","","",""," - ","","","",""
"","apdp.work.000562","Invocations and Admonitions: 49 poems and a triptych of parables (1986)","Invocations and Admonitions: 49 poems and a triptych of parables","Single Author|Selected Works","1986","['reccPpk77LPcdQYox']","","","",""," - ","","['recIbuKE6HrWcOFjB']","",""
"","apdp.work.000049","The Collected Poems of Francis Carey Slater (1957)","The Collected Poems of Francis Carey Slater","Single Author|Collected Works","1957","['rec9rJE4Sio33chZO']","['recfIcl7v6SgmqwkD']","","",""," - ","","['rec37qFoL7ZC3pR0i']","","['rec6LrX6MN7WO0uca']"
"","apdp.work.000677","Monkeys' Wedding (1972)","Monkeys' Wedding","Single Author|Selected Works","1972","['recXxVdJnHU3pvIEC']","['recR6YHhrfthZo5tS']","","",""," - ","","['recg89PgOHaow0fxy']","",""
"","apdp.work.000768","Poems (1860)","Poems","Single Author|Selected Works","1860","['recA9ivoDI5zMd3W8']","","","",""," - ","","","",""
"","apdp.work.000214","Voices from Twentieth-Century Africa: Griots and towncriers (1988)","Voices from Twentieth-Century Africa: Griots and towncriers","Anthology","1988","['recEzJUESbrePx4Kd']","['recR6YHhrfthZo5tS']","","",""," - ","","['recucU3ZtztARLtf4', 'recrruCSDgjxUgRNm', 'recLuUkTamWc4IG0f', 'recAV3Ptce1PToMz5']","","['recLX1xTn3mnaNbOi']"
"","apdp.work.000624","Nigérianes (1974)","Nigérianes","Single Author|Selected Works","1974","['recBYpdC3ni2vJEBG']","['recIfdbBEWSnOjoeU']","","",""," - ","","['rec1Z0ZMGjXmHJ3gv']","",""
"","apdp.work.000740","Early Achebe (2009)","Early Achebe","Single Author|Full Length","2009","['reccgFsYvJjLhkRPL']","","","",""," - ","","['recF6zVo3hDkCrDiz', 'recFW5gtLyMVSmZ4q', 'rectchMk5DpsTgs5u']","",""
"","apdp.work.000645","Carnets de prison (1981)","Carnets de prison","Single Author|Selected Works","1981","['recrtrv6ZfFIH5cUt']","","","",""," - ","","['rec0KY9nAhrs3kDQB']","",""
"","apdp.work.000538","Januarie-suite (January Suite) (1972)","Januarie-suite (January Suite)","Single Author|Selected Works","1972","['recadniZrGSrxejUc']","['recByKWBNYTnFNrCp']","","",""," - ","","['recuC2g1OGlh9zdvX']","",""
"","apdp.work.000138","The Hare and the Hornbill (1978)","The Hare and the Hornbill","Single Author|Selected Works","1978","['recxs7nr1XEK0p7Jk']","['recR6YHhrfthZo5tS']","","",""," - ","","['rec0T3UCHYEX9GmaP', 'rec4EOBnjgB40dFgU', 'recAqNBLPxTL0f32O', 'recxpcehzS2agQq1F']","","['reclu5cvQA95fq1bG']"
"","apdp.work.000708","Salutes and Censures (1985)","Salutes and Censures","Single Author|Selected Works","1985","['recjVqqru1VXVs2a8']","['recKif19KMEYsJGG0']","","",""," - ","","['recthqDZjZtCQpFwB']","",""
"","apdp.work.000249","Taalfeeskwatryne (1961)","Taalfeeskwatryne","Single Author|Selected Works","1961","['recYN91fhMQgFG4hs']","['recFjYFloIc1MhnAb']","","",""," - ","","['recc3f7lb0anNh5yE']","",""
"","apdp.work.000625","Pour la Jeune Fille de Soie Noire (1955)","Pour la Jeune Fille de Soie Noire","Single Author|Full Length","1955","['recg6W1lHLDtNPmtl']","['recaO8FXmzgUWmwxw']","","",""," - ","","['recJzKazd63uoTgly']","",""
